[2026-05-21T16:48:51.805Z] applyHighlights: no active editor
[2026-05-21T16:48:52.310Z] applyHighlights: no active editor
[2026-05-21T16:48:52.812Z] applyHighlights: no active editor
[2026-05-21T16:48:53.325Z] applyHighlights: no active editor
[2026-05-21T16:48:53.826Z] applyHighlights: no active editor
[2026-05-21T16:48:54.332Z] applyHighlights: no active editor
[2026-05-21T16:48:54.853Z] applyHighlights: no active editor
[2026-05-21T16:48:55.361Z] applyHighlights: no active editor
[2026-05-21T16:48:55.878Z] applyHighlights: no active editor
[2026-05-21T16:48:56.376Z] applyHighlights: no active editor
[2026-05-21T16:48:56.889Z] applyHighlights: no active editor
[2026-05-21T16:48:57.405Z] applyHighlights: no active editor
[2026-05-21T16:48:57.910Z] applyHighlights: no active editor
[2026-05-21T16:48:58.418Z] applyHighlights: no active editor
[2026-05-21T16:48:58.931Z] applyHighlights: no active editor
[2026-05-21T16:48:59.451Z] applyHighlights: no active editor
[2026-05-21T16:48:59.967Z] applyHighlights: no active editor
[2026-05-21T16:49:00.475Z] applyHighlights: no active editor
[2026-05-21T16:49:00.984Z] applyHighlights: no active editor
[2026-05-21T16:49:01.486Z] applyHighlights: no active editor
[2026-05-21T16:49:01.999Z] applyHighlights: no active editor
[2026-05-21T16:49:02.501Z] applyHighlights: no active editor
[2026-05-21T16:49:03.015Z] applyHighlights: no active editor
[2026-05-21T16:49:03.531Z] applyHighlights: no active editor
[2026-05-21T16:49:04.056Z] applyHighlights: no active editor
[2026-05-21T16:49:04.564Z] applyHighlights: no active editor
[2026-05-21T16:49:05.065Z] applyHighlights: no active editor
[2026-05-21T16:49:05.577Z] applyHighlights: no active editor
[2026-05-21T16:49:06.089Z] applyHighlights: no active editor
[2026-05-21T16:49:06.603Z] applyHighlights: no active editor
[2026-05-21T16:49:07.104Z] applyHighlights: no active editor
[2026-05-21T16:49:07.617Z] applyHighlights: no active editor
[2026-05-21T16:49:08.134Z] applyHighlights: no active editor
[2026-05-21T16:49:08.643Z] applyHighlights: no active editor
[2026-05-21T16:49:09.144Z] applyHighlights: no active editor
[2026-05-21T16:49:09.648Z] applyHighlights: no active editor
[2026-05-21T16:49:10.147Z] applyHighlights: no active editor
[2026-05-21T16:49:10.651Z] applyHighlights: no active editor
[2026-05-21T16:49:11.154Z] applyHighlights: no active editor
[2026-05-21T16:49:11.654Z] applyHighlights: no active editor
[2026-05-21T16:49:12.155Z] applyHighlights: no active editor
[2026-05-21T16:49:12.656Z] applyHighlights: no active editor
[2026-05-21T16:49:13.169Z] applyHighlights: no active editor
[2026-05-21T16:49:13.669Z] applyHighlights: no active editor
[2026-05-21T16:49:14.186Z] applyHighlights: no active editor
[2026-05-21T16:49:14.700Z] applyHighlights: no active editor
[2026-05-21T16:49:15.200Z] applyHighlights: no active editor
[2026-05-21T16:49:15.702Z] applyHighlights: no active editor
[2026-05-21T16:49:16.203Z] applyHighlights: no active editor
[2026-05-21T16:49:16.705Z] applyHighlights: no active editor
[2026-05-21T16:49:17.207Z] applyHighlights: no active editor
[2026-05-21T16:49:17.719Z] applyHighlights: no active editor
[2026-05-21T16:49:18.234Z] applyHighlights: no active editor
[2026-05-21T16:49:18.736Z] applyHighlights: no active editor
[2026-05-21T16:49:19.237Z] applyHighlights: no active editor
[2026-05-21T16:49:19.736Z] applyHighlights: no active editor
[2026-05-21T16:49:20.239Z] applyHighlights: no active editor
[2026-05-21T16:49:20.743Z] applyHighlights: no active editor
[2026-05-21T16:49:21.252Z] applyHighlights: no active editor
[2026-05-21T16:49:21.769Z] applyHighlights: no active editor
[2026-05-21T16:49:22.283Z] applyHighlights: no active editor
[2026-05-21T16:49:22.783Z] applyHighlights: no active editor
[2026-05-21T16:49:23.297Z] applyHighlights: no active editor
[2026-05-21T16:49:23.799Z] applyHighlights: no active editor
[2026-05-21T16:49:24.314Z] applyHighlights: no active editor
[2026-05-21T16:49:24.818Z] applyHighlights: no active editor
[2026-05-21T16:49:25.324Z] applyHighlights: no active editor
[2026-05-21T16:49:25.824Z] applyHighlights: no active editor
